transaction_id,date_key,site_key,product_key,department,units_processed,target_units,defects,downtime_minutes,labour_hours,on_time_flag,cost_gbp,revenue_gbp,variance_units,defect_rate,productivity_units_per_hour,gross_margin_gbp
TXN-00001,20250605,1,4,Packing,77,72,2,4,6.63,1,483.75,822.45,5,0.025974025974025976,11.613876319758672,338.70000000000005
TXN-00002,20250703,2,3,Assembly,99,106,3,24,7.32,1,622.86,1035.32,-7,0.030303030303030304,13.524590163934425,412.4599999999999
TXN-00003,20260525,1,4,Quality,183,174,3,14,13.26,1,1091.33,1879.58,9,0.01639344262295082,13.800904977375566,788.25
TXN-00004,20250429,3,3,Dispatch,225,174,8,22,17.95,1,1535.81,2879.39,51,0.035555555555555556,12.534818941504179,1343.58
TXN-00005,20251225,3,3,Dispatch,137,102,2,34,9.55,1,1029.2,1554.51,35,0.014598540145985401,14.345549738219894,525.31
TXN-00006,20250425,1,1,Quality,129,126,1,10,10.53,1,873.41,1428.26,3,0.007751937984496124,12.250712250712251,554.85
TXN-00007,20250617,1,4,Quality,115,137,0,4,7.77,0,641.21,980.79,-22,0.0,14.8005148005148,339.5799999999999
TXN-00008,20260430,4,3,Quality,110,114,0,17,7.0,1,729.67,1091.98,-4,0.0,15.714285714285714,362.31000000000006
TXN-00009,20250516,2,2,Dispatch,91,79,1,26,8.75,1,498.12,863.04,12,0.01098901098901099,10.4,364.91999999999996
TXN-00010,20260430,2,3,Assembly,207,172,4,14,15.12,1,1382.15,2644.6,35,0.01932367149758454,13.690476190476192,1262.4499999999998
TXN-00011,20250623,4,4,Quality,68,75,4,11,6.04,1,414.21,604.33,-7,0.058823529411764705,11.258278145695364,190.12000000000006
TXN-00012,20260214,1,3,Assembly,115,108,5,24,8.8,1,657.64,1290.22,7,0.043478260869565216,13.068181818181817,632.58
TXN-00013,20250601,3,2,Assembly,86,108,0,13,4.85,0,513.82,792.21,-22,0.0,17.7319587628866,278.39
TXN-00014,20260308,3,4,Assembly,178,166,5,11,12.49,1,980.58,1601.6,12,0.028089887640449437,14.251401120896718,621.0199999999999
TXN-00015,20250102,3,4,Assembly,94,107,1,41,5.07,0,565.8,981.34,-13,0.010638297872340425,18.54043392504931,415.5400000000001
TXN-00016,20250930,3,2,Packing,69,88,3,5,5.38,0,500.41,731.22,-19,0.043478260869565216,12.825278810408923,230.81
TXN-00017,20250519,2,3,Quality,108,85,1,11,9.49,1,745.96,1241.96,23,0.009259259259259259,11.380400421496311,496.0
TXN-00018,20260130,2,3,Assembly,188,150,6,31,14.54,1,1211.13,1756.17,38,0.031914893617021274,12.929848693259974,545.04
TXN-00019,20251018,4,3,Packing,175,167,7,14,15.06,1,1000.64,1787.43,8,0.04,11.620185922974768,786.7900000000001
TXN-00020,20250522,3,2,Quality,85,71,1,8,6.2,1,528.09,1083.09,14,0.011764705882352941,13.709677419354838,554.9999999999999
TXN-00021,20250428,3,2,Dispatch,167,155,5,20,13.28,1,875.31,1939.92,12,0.029940119760479042,12.575301204819278,1064.6100000000001
TXN-00022,20251019,3,4,Dispatch,172,146,2,23,13.27,1,1024.44,1463.41,26,0.011627906976744186,12.961567445365487,438.97
TXN-00023,20250224,2,1,Packing,84,93,1,17,7.46,1,544.37,899.73,-9,0.011904761904761904,11.26005361930295,355.36
TXN-00024,20250315,3,4,Assembly,127,107,3,21,10.65,1,894.44,1269.27,20,0.023622047244094488,11.92488262910798,374.8299999999999
TXN-00025,20260118,4,3,Assembly,112,106,3,44,9.39,0,877.64,1242.43,6,0.026785714285714284,11.927582534611288,364.7900000000001
TXN-00026,20260211,1,3,Assembly,91,105,1,26,6.99,0,603.39,1140.87,-14,0.01098901098901099,13.01859799713877,537.4799999999999
TXN-00027,20250602,1,2,Quality,91,89,0,7,7.69,1,694.53,792.21,2,0.0,11.833550065019505,97.68000000000006
TXN-00028,20250402,1,3,Packing,162,173,4,24,10.57,1,1181.23,1727.86,-11,0.024691358024691357,15.32639545884579,546.6299999999999
TXN-00029,20250918,4,1,Dispatch,184,171,1,10,11.38,1,944.73,2150.39,13,0.005434782608695652,16.16871704745167,1205.6599999999999
TXN-00030,20260324,2,2,Packing,87,74,3,16,6.3,1,576.22,791.3,13,0.034482758620689655,13.80952380952381,215.07999999999993
TXN-00031,20260525,3,1,Packing,120,110,5,9,10.56,1,802.78,1525.18,10,0.041666666666666664,11.363636363636363,722.4000000000001
TXN-00032,20251017,2,1,Packing,164,175,7,10,11.91,1,811.57,1594.45,-11,0.042682926829268296,13.769941225860622,782.88
TXN-00033,20260324,2,2,Assembly,176,170,5,25,11.69,1,1369.59,1637.29,6,0.028409090909090908,15.055603079555176,267.70000000000005
TXN-00034,20250509,4,2,Packing,118,131,2,23,9.29,1,799.15,1357.54,-13,0.01694915254237288,12.701829924650163,558.39
TXN-00035,20251206,1,1,Assembly,165,171,3,14,12.44,1,860.07,1537.7,-6,0.01818181818181818,13.263665594855306,677.63
TXN-00036,20250424,2,3,Dispatch,236,179,9,12,18.9,1,1778.57,2549.23,57,0.038135593220338986,12.486772486772487,770.6600000000001
TXN-00037,20250626,4,2,Dispatch,134,131,3,7,11.5,1,816.84,1522.11,3,0.022388059701492536,11.652173913043478,705.2699999999999
TXN-00038,20250124,1,3,Dispatch,101,98,2,9,9.67,1,525.22,1070.41,3,0.019801980198019802,10.444674250258531,545.19
TXN-00039,20260517,2,2,Packing,93,90,1,12,5.57,1,553.15,874.44,3,0.010752688172043012,16.696588868940754,321.2900000000001
TXN-00040,20260402,3,3,Dispatch,145,123,4,19,10.35,1,753.02,1355.57,22,0.027586206896551724,14.009661835748792,602.55
TXN-00041,20251221,4,4,Packing,124,133,3,7,11.28,1,768.66,1282.11,-9,0.024193548387096774,10.99290780141844,513.4499999999999
TXN-00042,20250101,2,4,Dispatch,104,110,1,10,7.52,1,682.94,968.11,-6,0.009615384615384616,13.829787234042554,285.16999999999996
TXN-00043,20250807,3,3,Assembly,154,130,0,26,10.81,1,1010.05,1955.78,24,0.0,14.246068455134134,945.73
TXN-00044,20260101,3,1,Quality,153,163,2,10,13.77,1,956.07,1546.15,-10,0.013071895424836602,11.11111111111111,590.08
TXN-00045,20250126,1,4,Assembly,142,142,0,32,11.52,1,1031.06,1539.19,0,0.0,12.32638888888889,508.1300000000001
TXN-00046,20250926,4,1,Packing,157,171,4,4,12.99,1,854.96,1665.9,-14,0.025477707006369428,12.086220169361047,810.94
TXN-00047,20250411,3,1,Quality,98,94,1,12,8.36,1,625.85,1021.16,4,0.01020408163265306,11.722488038277513,395.30999999999995
TXN-00048,20250707,1,3,Packing,182,162,5,5,14.23,1,995.57,1702.83,20,0.027472527472527472,12.789880534082924,707.2599999999999
TXN-00049,20250629,4,3,Quality,97,118,1,8,6.95,0,622.52,1107.42,-21,0.010309278350515464,13.956834532374101,484.9000000000001
TXN-00050,20250122,1,4,Packing,113,105,1,16,6.78,1,717.13,1371.72,8,0.008849557522123894,16.666666666666664,654.59
TXN-00051,20250908,4,3,Assembly,103,113,1,16,8.94,1,614.17,1020.84,-10,0.009708737864077669,11.521252796420582,406.6700000000001
TXN-00052,20250714,4,2,Packing,184,158,0,5,16.44,1,1129.77,1982.82,26,0.0,11.19221411192214,853.05
TXN-00053,20250226,2,1,Dispatch,157,155,4,20,11.69,1,1063.74,1459.22,2,0.025477707006369428,13.430282292557742,395.48
TXN-00054,20250413,4,2,Assembly,119,155,3,13,8.84,0,645.22,1260.56,-36,0.025210084033613446,13.461538461538462,615.3399999999999
TXN-00055,20260322,3,3,Packing,173,158,4,3,13.14,1,1139.61,2071.0,15,0.023121387283236993,13.165905631659056,931.3900000000001
TXN-00056,20250819,3,2,Assembly,81,92,3,18,6.93,0,527.93,845.88,-11,0.037037037037037035,11.688311688311689,317.95000000000005
TXN-00057,20260305,1,2,Packing,126,116,1,25,10.75,1,1001.46,1537.82,10,0.007936507936507936,11.720930232558139,536.3599999999999
