month,units,target,defects,downtime,on_time_rate,revenue,margin,attainment_rate,defect_rate
2025-01,14925,14540,327,1966,0.7983193277310925,161152.33,65116.65,1.0264786795048142,0.02190954773869347
2025-02,9544,9025,195,1209,0.92,100880.11,41422.770000000004,1.0575069252077562,0.020431684828164293
2025-03,11278,10583,195,1164,0.8452380952380952,122910.81999999999,51653.13,1.0656713597278655,0.01729029969852811
2025-04,10824,10215,260,1292,0.8292682926829268,115656.08,47885.18,1.059618208516887,0.02402069475240207
2025-05,13730,13283,276,1715,0.8130841121495327,150725.22,64080.61,1.0336520364375517,0.020101966496722506
2025-06,14325,14565,279,1900,0.7083333333333334,151420.63,58664.69,0.9835221421215242,0.019476439790575915
2025-07,12228,12957,278,1660,0.6213592233009708,128434.72,48976.24,0.943736976151887,0.02273470722930978
2025-08,11862,12685,242,1626,0.5242718446601942,124815.84,49052.53,0.9351202207331494,0.020401281402798854
2025-09,9532,10352,209,1175,0.475,101385.4,39806.86,0.9207882534775889,0.021926143516575746
2025-10,11136,11898,239,1397,0.5625,115001.58,44837.67,0.9359556227937469,0.021461925287356323
2025-11,10469,10936,210,1340,0.6588235294117647,108335.69,40839.99,0.9572970007315289,0.02005922246632916
2025-12,12066,11828,244,1485,0.8210526315789474,126602.33,49832.32,1.0201217450118363,0.020222111718879495
2026-01,11861,11363,253,1663,0.8,125591.72,46350.36,1.0438264542814397,0.021330410589326363
2026-02,10426,9860,205,1311,0.7848101265822784,111763.64,45015.49,1.0574036511156186,0.019662382505275272
2026-03,11142,10347,241,1350,0.8809523809523809,118857.31,47026.77,1.0768338648883735,0.021629868964279302
2026-04,11030,10190,243,1347,0.8461538461538461,117803.95999999999,46590.01,1.0824337585868498,0.022030825022665457
2026-05,11947,11453,209,1375,0.8522727272727273,127269.15,50298.91,1.043132803632236,0.017493931530928267
