transaction_id,date,site,department,product_line,units_processed,target_units,defects,downtime_minutes,labour_hours,on_time_flag,cost_gbp,revenue_gbp,data_quality_flag
TXN-00001,2025-06-05,Leeds,Packing,Gamma,77,72,2,4,6.63,1,483.75,822.45,OK
TXN-00002,2025-07-03,Manchester,Assembly,Delta,99,106,3,24,7.32,1,622.86,1035.32,OK
TXN-00003,2026-05-25,Leeds,Quality,Gamma,183,174,3,14,13.26,1,1091.33,1879.58,OK
TXN-00004,2025-04-29,Nottingham,Dispatch,Delta,225,174,8,22,17.95,1,1535.81,2879.39,OK
TXN-00005,2025-12-25,Nottingham,Dispatch,Delta,137,102,2,34,9.55,1,1029.2,1554.51,OK
TXN-00006,2025-04-25,Leeds,Quality,Alpha,129,126,1,10,10.53,1,873.41,1428.26,OK
TXN-00007,2025-06-17,Leeds,Quality,Gamma,115,137,0,4,7.77,0,641.21,980.79,OK
TXN-00008,2026-04-30,Sheffield,Quality,Delta,110,114,0,17,7.0,1,729.67,1091.98,OK
TXN-00009,2025-05-16,Manchester,Dispatch,Beta,91,79,1,26,8.75,1,498.12,863.04,OK
TXN-00010,2026-04-30,Manchester,Assembly,Delta,207,172,4,14,15.12,1,1382.15,2644.6,OK
TXN-00011,2025-06-23,Sheffield,Quality,Gamma,68,75,4,11,6.04,1,414.21,604.33,OK
TXN-00012,2026-02-14,Leeds,Assembly,Delta,115,108,5,24,8.8,1,657.64,1290.22,OK
TXN-00013,2025-06-01,Nottingham,Assembly,Beta,86,108,0,13,4.85,0,513.82,792.21,OK
TXN-00014,2026-03-08,Nottingham,Assembly,Gamma,178,166,5,11,12.49,1,980.58,1601.6,OK
TXN-00015,2025-01-02,Nottingham,Assembly,Gamma,94,107,1,41,5.07,0,565.8,981.34,OK
TXN-00016,2025-09-30,Nottingham,Packing,Beta,69,88,3,5,5.38,0,500.41,731.22,OK
TXN-00017,2025-05-19,Manchester,Quality,Delta,108,85,1,11,9.49,1,745.96,1241.96,OK
TXN-00018,2026-01-30,Manchester,Assembly,Delta,188,150,6,31,14.54,1,1211.13,1756.17,OK
TXN-00019,2025-10-18,Sheffield,Packing,Delta,175,167,7,14,15.06,1,1000.64,1787.43,OK
TXN-00020,2025-05-22,Nottingham,Quality,Beta,85,71,1,8,6.2,1,528.09,1083.09,OK
TXN-00021,2025-04-28,Nottingham,Dispatch,Beta,167,155,5,20,13.28,1,875.31,1939.92,OK
TXN-00022,2025-10-19,Nottingham,Dispatch,Gamma,172,146,2,23,13.27,1,1024.44,1463.41,OK
TXN-00023,2025-02-24,Manchester,Packing,Alpha,84,93,1,17,7.46,1,544.37,899.73,OK
TXN-00024,2025-03-15,Nottingham,Assembly,Gamma,127,107,3,21,10.65,1,894.44,1269.27,OK
TXN-00025,2026-01-18,Sheffield,Assembly,Delta,112,106,3,44,9.39,0,877.64,1242.43,OK
TXN-00026,2026-02-11,Leeds,Assembly,Delta,91,105,1,26,6.99,0,603.39,1140.87,OK
TXN-00027,2025-06-02,Leeds,Quality,Beta,91,89,0,7,7.69,1,694.53,792.21,OK
TXN-00028,2025-04-02,Leeds,Packing,Delta,162,173,4,24,10.57,1,1181.23,1727.86,OK
TXN-00029,2025-09-18,Sheffield,Dispatch,Alpha,184,171,1,10,11.38,1,944.73,2150.39,OK
TXN-00030,2026-03-24,Manchester,Packing,Beta,87,74,3,16,6.3,1,576.22,791.3,OK
TXN-00031,2026-05-25,Nottingham,Packing,Alpha,120,110,5,9,10.56,1,802.78,1525.18,OK
TXN-00032,2025-10-17,Manchester,Packing,Alpha,164,175,7,10,11.91,1,811.57,1594.45,OK
TXN-00033,2026-03-24,Manchester,Assembly,Beta,176,170,5,25,11.69,1,1369.59,1637.29,OK
TXN-00034,2025-05-09,Sheffield,Packing,Beta,118,131,2,23,9.29,1,799.15,1357.54,OK
TXN-00035,2025-12-06,Leeds,Assembly,Alpha,165,171,3,14,12.44,1,860.07,1537.7,OK
TXN-00036,2025-04-24,Manchester,Dispatch,Delta,236,179,9,12,18.9,1,1778.57,2549.23,OK
